Temperature of gurgaon,Wind in gurgaon,Humidty in gurgaon,Temperature of ghaziabad,Wind in ghaziabad,Humidty in ghaziabad,Temperature of noida,Wind in noida,Humidty in noida,Temperature of faridabad,Wind in faridabad,Humidty in faridabad,Temperature of meerut,Wind in meerut,Humidty in meerut,Temperature of chandigarh,Wind in chandigarh,Humidty in chandigarh,Temperature of delhi,Wind in delhi,Humidty in delhi
30.0,15.0,59.0,,,,30.0,15.0,59.0,30.0,15.0,59.0,,,,37.0,4.0,29.0,,,
31.0,11.0,55.0,,,,31.0,11.0,55.0,31.0,11.0,55.0,,,,37.0,13.0,29.0,,,
32.0,11.0,52.0,,,,32.0,11.0,52.0,32.0,11.0,52.0,,,,36.0,4.0,32.0,,,
32.0,11.0,52.0,,,,32.0,11.0,52.0,32.0,11.0,52.0,,,,36.0,,32.0,,,
32.0,11.0,52.0,,,,32.0,11.0,52.0,32.0,11.0,52.0,,,,35.0,,36.0,,,
34.0,11.0,47.0,,,,34.0,11.0,47.0,34.0,11.0,47.0,,,,34.0,,39.0,,,
35.0,11.0,44.0,,,,35.0,11.0,44.0,35.0,11.0,44.0,,,,33.0,,41.0,,,
36.0,11.0,39.0,,,,36.0,11.0,39.0,36.0,11.0,39.0,,,,32.0,,43.0,,,
37.0,11.0,37.0,,,,37.0,11.0,37.0,37.0,11.0,37.0,,,,32.0,,46.0,,,
40.0,22.0,33.0,,,,40.0,22.0,33.0,40.0,22.0,33.0,,,,31.0,,49.0,,,
40.0,19.0,29.0,,,,40.0,19.0,29.0,40.0,19.0,29.0,,,,31.0,,49.0,,,
40.0,19.0,28.0,,,,40.0,19.0,28.0,40.0,19.0,28.0,,,,31.0,,49.0,,,
40.0,15.0,28.0,,,,40.0,15.0,28.0,40.0,15.0,28.0,,,,30.0,,55.0,,,
40.0,15.0,29.0,,,,40.0,15.0,29.0,40.0,15.0,29.0,,,,26.0,,74.0,,,
40.0,15.0,29.0,,,,40.0,15.0,29.0,40.0,15.0,29.0,,,,25.0,,79.0,,,
40.0,19.0,28.0,,,,40.0,19.0,28.0,40.0,19.0,28.0,,,,24.0,,78.0,,,
40.0,17.0,28.0,,,,40.0,17.0,28.0,40.0,17.0,28.0,,,,25.0,,79.0,,,
40.0,17.0,28.0,,,,40.0,17.0,28.0,40.0,17.0,28.0,,,,25.0,9.0,83.0,,,
40.0,17.0,28.0,,,,40.0,17.0,28.0,40.0,17.0,28.0,,,,24.0,,89.0,,,
38.0,17.0,29.0,,,,38.0,17.0,29.0,38.0,17.0,29.0,,,,24.0,,89.0,,,
37.0,,31.0,,,,37.0,,31.0,37.0,,31.0,,,,24.0,,89.0,,,
36.0,13.0,34.0,,,,36.0,13.0,34.0,36.0,13.0,34.0,,,,23.0,,94.0,,,
36.0,11.0,34.0,,,,36.0,11.0,34.0,36.0,11.0,34.0,,,,24.0,,94.0,,,
35.0,9.0,36.0,,,,35.0,9.0,36.0,35.0,9.0,36.0,,,,24.0,,89.0,,,
35.0,7.0,36.0,,,,35.0,7.0,36.0,35.0,7.0,36.0,,,,25.0,,89.0,,,
35.0,6.0,41.0,,,,35.0,6.0,41.0,35.0,6.0,41.0,,,,25.0,,89.0,,,
34.0,6.0,41.0,,,,34.0,6.0,41.0,34.0,6.0,41.0,,,,26.0,19.0,89.0,,,
34.0,7.0,41.0,,,,34.0,7.0,41.0,34.0,7.0,41.0,,,,27.0,17.0,74.0,,,
34.0,6.0,44.0,,,,34.0,6.0,44.0,34.0,6.0,44.0,,,,27.0,15.0,74.0,,,
30.0,7.0,70.0,,,,30.0,7.0,70.0,30.0,7.0,70.0,,,,27.0,11.0,79.0,,,
30.0,7.0,70.0,,,,30.0,7.0,70.0,30.0,7.0,70.0,,,,29.0,4.0,70.0,,,
30.0,6.0,70.0,,,,30.0,6.0,70.0,30.0,6.0,70.0,,,,30.0,4.0,66.0,,,
30.0,6.0,70.0,,,,30.0,6.0,70.0,30.0,6.0,70.0,,,,31.0,4.0,62.0,,,
30.0,6.0,70.0,,,,30.0,6.0,70.0,30.0,6.0,70.0,,,,31.0,4.0,59.0,,,
30.0,6.0,70.0,,,,30.0,6.0,70.0,30.0,6.0,70.0,,,,32.0,4.0,55.0,,,
30.0,6.0,55.0,,,,30.0,6.0,55.0,30.0,6.0,55.0,,,,32.0,4.0,55.0,,,
30.0,,52.0,,,,30.0,,52.0,30.0,,52.0,,,,33.0,,52.0,,,
30.0,,52.0,,,,30.0,,52.0,30.0,,52.0,,,,32.0,4.0,55.0,,,
30.0,,49.0,,,,30.0,,49.0,30.0,,49.0,,,,32.0,4.0,55.0,,,
30.0,7.0,52.0,,,,30.0,7.0,52.0,30.0,7.0,52.0,,,,33.0,4.0,52.0,,,
30.0,6.0,55.0,,,,30.0,6.0,55.0,30.0,6.0,55.0,,,,33.0,7.0,56.0,,,
30.0,6.0,55.0,,,,30.0,6.0,55.0,30.0,6.0,55.0,,,,32.0,4.0,59.0,,,
31.0,7.0,52.0,,,,31.0,7.0,52.0,31.0,7.0,52.0,,,,32.0,11.0,55.0,,,
31.0,7.0,52.0,,,,31.0,7.0,52.0,31.0,7.0,52.0,,,,31.0,11.0,59.0,,,
31.0,19.0,59.0,,,,31.0,19.0,59.0,31.0,19.0,59.0,,,,31.0,,59.0,,,
31.0,17.0,59.0,,,,31.0,17.0,59.0,31.0,17.0,59.0,,,,31.0,9.0,59.0,,,
32.0,11.0,55.0,,,,32.0,11.0,55.0,32.0,11.0,55.0,,,,30.0,,66.0,,,
32.0,13.0,52.0,,,,32.0,13.0,52.0,32.0,13.0,52.0,,,,29.0,4.0,66.0,,,
33.0,11.0,49.0,,,,33.0,11.0,49.0,33.0,11.0,49.0,,,,29.0,4.0,70.0,,,
33.0,11.0,44.0,,,,33.0,11.0,44.0,33.0,11.0,44.0,,,,29.0,6.0,66.0,,,
35.0,15.0,39.0,,,,35.0,15.0,39.0,35.0,15.0,39.0,,,,28.0,,70.0,,,
36.0,15.0,37.0,,,,36.0,15.0,37.0,36.0,15.0,37.0,,,,27.0,,79.0,,,
36.0,15.0,39.0,,,,36.0,15.0,39.0,36.0,15.0,39.0,,,,27.0,,79.0,,,
36.0,15.0,37.0,,,,36.0,15.0,37.0,36.0,15.0,37.0,,,,24.0,4.0,94.0,,,
36.0,15.0,39.0,,,,36.0,15.0,39.0,36.0,15.0,39.0,,,,23.0,9.0,100.0,,,
36.0,15.0,37.0,,,,36.0,15.0,37.0,36.0,15.0,37.0,,,,24.0,11.0,100.0,,,
37.0,13.0,35.0,,,,37.0,13.0,35.0,37.0,13.0,35.0,,,,25.0,13.0,83.0,,,
37.0,19.0,35.0,,,,37.0,19.0,35.0,37.0,19.0,35.0,,,,24.0,20.0,94.0,,,
37.0,15.0,35.0,,,,37.0,15.0,35.0,37.0,15.0,35.0,,,,24.0,19.0,94.0,,,
37.0,15.0,35.0,,,,37.0,15.0,35.0,37.0,15.0,35.0,,,,24.0,19.0,94.0,,,
37.0,15.0,37.0,,,,37.0,15.0,37.0,37.0,15.0,37.0,,,,25.0,11.0,83.0,,,
36.0,15.0,42.0,,,,36.0,15.0,42.0,36.0,15.0,42.0,,,,25.0,7.0,94.0,,,
35.0,15.0,44.0,,,,35.0,15.0,44.0,35.0,15.0,44.0,,,,24.0,22.0,100.0,,,
34.0,24.0,47.0,,,,34.0,24.0,47.0,34.0,24.0,47.0,,,,23.0,13.0,100.0,,,
33.0,22.0,49.0,,,,33.0,22.0,49.0,33.0,22.0,49.0,,,,23.0,11.0,100.0,,,
32.0,13.0,52.0,,,,32.0,13.0,52.0,32.0,13.0,52.0,,,,23.0,17.0,100.0,,,
32.0,11.0,52.0,,,,32.0,11.0,52.0,32.0,11.0,52.0,,,,23.0,9.0,100.0,,,
32.0,11.0,49.0,,,,32.0,11.0,49.0,32.0,11.0,49.0,,,,25.0,15.0,89.0,,,
32.0,13.0,49.0,,,,32.0,13.0,49.0,32.0,13.0,49.0,,,,25.0,15.0,89.0,,,
32.0,13.0,46.0,,,,32.0,13.0,46.0,32.0,13.0,46.0,,,,28.0,4.0,74.0,,,
31.0,11.0,52.0,,,,31.0,11.0,52.0,31.0,11.0,52.0,,,,28.0,11.0,74.0,,,
31.0,13.0,52.0,,,,31.0,13.0,52.0,31.0,13.0,52.0,,,,28.0,15.0,74.0,,,
31.0,9.0,52.0,,,,31.0,9.0,52.0,31.0,9.0,52.0,,,,28.0,11.0,74.0,,,
34.0,13.0,53.0,,,,34.0,13.0,53.0,34.0,13.0,53.0,,,,28.0,11.0,74.0,,,
33.0,11.0,52.0,,,,33.0,11.0,52.0,33.0,11.0,52.0,,,,29.0,11.0,70.0,,,
33.0,9.0,52.0,,,,33.0,9.0,52.0,33.0,9.0,52.0,,,,30.0,11.0,70.0,,,
33.0,11.0,52.0,,,,33.0,11.0,52.0,33.0,11.0,52.0,,,,30.0,11.0,70.0,,,
33.0,11.0,52.0,,,,33.0,11.0,52.0,33.0,11.0,52.0,,,,30.0,4.0,66.0,,,
33.0,7.0,56.0,,,,33.0,7.0,56.0,33.0,7.0,56.0,,,,30.0,9.0,66.0,,,
30.0,13.0,62.0,,,,30.0,13.0,62.0,30.0,13.0,62.0,,,,30.0,4.0,66.0,,,
29.0,19.0,66.0,,,,29.0,19.0,66.0,29.0,19.0,66.0,,,,30.0,,66.0,,,
29.0,9.0,70.0,,,,29.0,9.0,70.0,29.0,9.0,70.0,,,,30.0,,62.0,,,
29.0,15.0,62.0,,,,29.0,15.0,62.0,29.0,15.0,62.0,,,,30.0,,59.0,,,
31.0,11.0,59.0,,,,31.0,11.0,59.0,31.0,11.0,59.0,,,,29.0,,62.0,,,
30.0,9.0,62.0,,,,30.0,9.0,62.0,30.0,9.0,62.0,,,,27.0,,70.0,,,
32.0,22.0,55.0,,,,32.0,22.0,55.0,32.0,22.0,55.0,,,,27.0,,74.0,,,
32.0,15.0,55.0,,,,32.0,15.0,55.0,32.0,15.0,55.0,,,,26.0,,79.0,,,
31.0,22.0,59.0,,,,31.0,22.0,59.0,31.0,22.0,59.0,,,,25.0,7.0,79.0,,,
31.0,17.0,59.0,,,,31.0,17.0,59.0,31.0,17.0,59.0,,,,25.0,,79.0,,,
31.0,20.0,59.0,,,,31.0,20.0,59.0,31.0,20.0,59.0,,,,29.0,20.0,55.0,,,
32.0,17.0,55.0,,,,32.0,17.0,55.0,32.0,17.0,55.0,,,,29.0,19.0,51.0,,,
32.0,19.0,55.0,,,,32.0,19.0,55.0,32.0,19.0,55.0,,,,29.0,13.0,58.0,,,
33.0,20.0,52.0,,,,33.0,20.0,52.0,33.0,20.0,52.0,,,,28.0,20.0,55.0,,,
33.0,20.0,52.0,,,,33.0,20.0,52.0,33.0,20.0,52.0,,,,28.0,19.0,55.0,,,
33.0,20.0,52.0,,,,33.0,20.0,52.0,33.0,20.0,52.0,,,,28.0,17.0,58.0,,,
33.0,17.0,49.0,,,,33.0,17.0,49.0,33.0,17.0,49.0,,,,28.0,20.0,62.0,,,
33.0,15.0,49.0,,,,33.0,15.0,49.0,33.0,15.0,49.0,,,,28.0,22.0,66.0,,,
34.0,11.0,44.0,,,,34.0,11.0,44.0,34.0,11.0,44.0,,,,28.0,26.0,62.0,,,
36.0,13.0,39.0,,,,36.0,13.0,39.0,36.0,13.0,39.0,,,,28.0,22.0,62.0,,,
37.0,15.0,37.0,,,,37.0,15.0,37.0,37.0,15.0,37.0,,,,28.0,30.0,62.0,,,
37.0,17.0,37.0,,,,37.0,17.0,37.0,37.0,17.0,37.0,,,,28.0,32.0,62.0,,,
37.0,17.0,37.0,,,,37.0,17.0,37.0,37.0,17.0,37.0,,,,29.0,22.0,62.0,,,
36.0,17.0,39.0,,,,36.0,17.0,39.0,36.0,17.0,39.0,,,,28.0,24.0,66.0,,,
36.0,13.0,39.0,,,,36.0,13.0,39.0,36.0,13.0,39.0,,,,28.0,24.0,66.0,,,
33.0,19.0,52.0,,,,33.0,19.0,52.0,33.0,19.0,52.0,,,,28.0,24.0,62.0,,,
32.0,9.0,55.0,,,,32.0,9.0,55.0,32.0,9.0,55.0,,,,29.0,28.0,62.0,,,
31.0,9.0,62.0,,,,31.0,9.0,62.0,31.0,9.0,62.0,,,,30.0,24.0,55.0,,,
31.0,15.0,62.0,,,,31.0,15.0,62.0,31.0,15.0,62.0,,,,30.0,24.0,55.0,,,
31.0,15.0,62.0,,,,31.0,15.0,62.0,31.0,15.0,62.0,,,,31.0,24.0,52.0,,,
31.0,13.0,62.0,,,,31.0,13.0,62.0,31.0,13.0,62.0,,,,31.0,24.0,52.0,,,
31.0,13.0,66.0,,,,31.0,13.0,66.0,31.0,13.0,66.0,,,,32.0,20.0,49.0,,,
31.0,11.0,59.0,,,,31.0,11.0,59.0,31.0,11.0,59.0,,,,32.0,19.0,49.0,,,
31.0,11.0,59.0,,,,31.0,11.0,59.0,31.0,11.0,59.0,,,,30.0,19.0,49.0,,,
35.0,11.0,47.0,,,,35.0,11.0,47.0,35.0,11.0,47.0,,,,29.0,24.0,51.0,,,
35.0,15.0,47.0,,,,35.0,15.0,47.0,35.0,15.0,47.0,,,,28.0,22.0,62.0,,,
35.0,13.0,47.0,,,,35.0,13.0,47.0,35.0,13.0,47.0,,,,29.0,17.0,55.0,,,
34.0,15.0,49.0,,,,34.0,15.0,49.0,34.0,15.0,49.0,,,,25.0,15.0,69.0,,,
33.0,11.0,52.0,,,,33.0,11.0,52.0,33.0,11.0,52.0,,,,24.0,11.0,94.0,,,
33.0,9.0,52.0,,,,33.0,9.0,52.0,33.0,9.0,52.0,,,,25.0,17.0,83.0,,,
33.0,9.0,52.0,,,,33.0,9.0,52.0,33.0,9.0,52.0,,,,25.0,4.0,79.0,,,
33.0,7.0,49.0,,,,33.0,7.0,49.0,33.0,7.0,49.0,,,,25.0,9.0,83.0,,,
34.0,11.0,44.0,,,,34.0,11.0,44.0,34.0,11.0,44.0,,,,25.0,6.0,83.0,,,
34.0,15.0,41.0,,,,34.0,15.0,41.0,34.0,15.0,41.0,,,,24.0,6.0,89.0,,,
34.0,17.0,41.0,,,,34.0,17.0,41.0,34.0,17.0,41.0,,,,,,,,,
34.0,15.0,41.0,,,,34.0,15.0,41.0,34.0,15.0,41.0,,,,,,,,,
34.0,17.0,41.0,,,,34.0,17.0,41.0,34.0,17.0,41.0,,,,,,,,,
34.0,20.0,41.0,,,,34.0,20.0,41.0,34.0,20.0,41.0,,,,,,,,,
35.0,20.0,39.0,,,,35.0,20.0,39.0,35.0,20.0,39.0,,,,,,,,,
35.0,22.0,39.0,,,,35.0,22.0,39.0,35.0,22.0,39.0,,,,,,,,,
36.0,15.0,37.0,,,,36.0,15.0,37.0,36.0,15.0,37.0,,,,,,,,,
36.0,15.0,37.0,,,,36.0,15.0,37.0,36.0,15.0,37.0,,,,,,,,,
37.0,15.0,35.0,,,,37.0,15.0,35.0,37.0,15.0,35.0,,,,,,,,,
37.0,15.0,35.0,,,,37.0,15.0,35.0,37.0,15.0,35.0,,,,,,,,,
38.0,15.0,37.0,,,,38.0,15.0,37.0,38.0,15.0,37.0,,,,,,,,,
39.0,9.0,35.0,,,,39.0,9.0,35.0,39.0,9.0,35.0,,,,,,,,,
39.0,9.0,35.0,,,,39.0,9.0,35.0,39.0,9.0,35.0,,,,,,,,,
39.0,15.0,35.0,,,,39.0,15.0,35.0,39.0,15.0,35.0,,,,,,,,,
40.0,11.0,31.0,,,,40.0,11.0,31.0,40.0,11.0,31.0,,,,,,,,,
40.0,15.0,31.0,,,,40.0,15.0,31.0,40.0,15.0,31.0,,,,,,,,,
39.0,11.0,33.0,,,,39.0,11.0,33.0,39.0,11.0,33.0,,,,,,,,,
39.0,11.0,31.0,,,,39.0,11.0,31.0,39.0,11.0,31.0,,,,,,,,,
39.0,11.0,31.0,,,,39.0,11.0,31.0,39.0,11.0,31.0,,,,,,,,,
39.0,11.0,29.0,,,,39.0,11.0,29.0,39.0,11.0,29.0,,,,,,,,,
39.0,11.0,29.0,,,,39.0,11.0,29.0,39.0,11.0,29.0,,,,,,,,,
39.0,9.0,29.0,,,,39.0,9.0,29.0,39.0,9.0,29.0,,,,,,,,,
39.0,11.0,29.0,,,,39.0,11.0,29.0,39.0,11.0,29.0,,,,,,,,,
39.0,11.0,29.0,,,,39.0,11.0,29.0,39.0,11.0,29.0,,,,,,,,,
35.0,15.0,47.0,,,,35.0,15.0,47.0,35.0,15.0,47.0,,,,,,,,,
35.0,13.0,50.0,,,,35.0,13.0,50.0,35.0,13.0,50.0,,,,,,,,,
35.0,15.0,50.0,,,,35.0,15.0,50.0,35.0,15.0,50.0,,,,,,,,,
35.0,13.0,50.0,,,,35.0,13.0,50.0,35.0,13.0,50.0,,,,,,,,,
35.0,15.0,50.0,,,,35.0,15.0,50.0,35.0,15.0,50.0,,,,,,,,,
34.0,19.0,53.0,,,,34.0,19.0,53.0,34.0,19.0,53.0,,,,,,,,,
34.0,13.0,53.0,,,,34.0,13.0,53.0,34.0,13.0,53.0,,,,,,,,,
